MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,Kişi,Ses Türü
-514.3605,147.90262,39.83132,30.04302,6.3479996,11.482685,1.2761835,5.2469654,2.5619693,-4.063252,2.5721753,-14.411639,-7.085862,4.1710052,-15.484174,-10.470323,-1.5714568,-3.392306,-1.8702404,-7.7571173,-1.8809973,-3.3740525,-8.643485,-3.9901955,-5.6394825,-2.7768357,-2.6861157,-5.897744,-1.3449707,-4.6782575,-5.6439586,-1.9422356,-5.135897,-4.074125,-2.698051,-2.3776507,-2.8640761,-3.2051651,-0.03633868,1.4157908,0.26108417,0.22038512,0.22320078,0.30091536,0.43011835,0.6079236,0.7271273,0.6575966,0.5506158,0.473863,0.4296883,0.33219224,elif,korku
-502.49393,141.48859,28.694906,43.746834,-1.646511,4.124106,1.9681786,7.210212,-0.9050747,-3.3149893,-1.3928859,-16.50077,-7.779906,0.42225054,-13.477686,-9.262584,-4.244157,-8.498053,-4.52865,-6.846939,-3.5217164,-4.00107,-5.788279,-4.082451,-5.6057873,-5.680716,-1.9229343,-5.66716,-3.506815,-3.7137115,-5.991743,0.029847547,-5.8577123,-2.4674413,0.108877696,-1.9035879,-1.589233,-1.9992169,2.9233937,2.1893137,0.28987265,0.25577947,0.25322857,0.3091528,0.3997605,0.4693573,0.6190655,0.6779679,0.6587104,0.55414593,0.41152227,0.3231796,elif,korku
-500.07828,129.19006,21.794085,53.827477,5.1854544,14.128585,0.5822061,5.099503,-0.055257805,-2.455693,4.103374,-16.094309,-10.644572,2.3158631,-10.343211,-9.38369,0.37175196,-3.563016,-1.7322712,-2.8034844,-2.245015,-8.532715,-10.103033,-1.0196015,-5.9945164,-6.6284447,0.6504836,-5.8071036,-4.1049848,-2.718202,-3.659653,1.7120309,-3.6768913,-1.787005,1.0267447,0.99570876,2.1436975,0.35115528,1.1014026,3.9060626,0.3020883,0.26679713,0.29201105,0.34970298,0.398789,0.49303156,0.5671468,0.56347317,0.5774583,0.51646703,0.48753652,0.37641153,elif,korku
-512.5127,148.47154,34.536037,38.468445,-3.9780521,8.32624,9.580049,12.059741,-4.541517,-7.9812217,1.9821566,-17.108263,-4.3362765,1.4404845,-16.89804,-6.7647123,-4.144283,-8.148133,-2.253089,-4.7736645,-3.5560567,-8.424363,-4.992097,-2.5212293,-12.073842,-7.1294036,-3.9334033,-6.9385796,-2.8840992,-5.8781705,-4.9247875,-0.29288185,-3.7441232,-0.14176515,-0.8646231,-2.217012,1.1915259,-1.083135,-0.36938056,2.7836304,0.22792327,0.2002374,0.23135553,0.32314083,0.41610676,0.577404,0.73212194,0.67978543,0.59658813,0.47197625,0.40865067,0.30304468,elif,korku
-493.38397,134.8489,30.557507,52.921864,0.7418224,13.313604,1.5773133,1.967131,-0.38950914,-5.844836,-0.77101666,-16.424831,-10.289132,1.6641456,-11.6977625,-10.309413,-4.6666946,-5.327771,0.54226315,-6.5584593,-6.4230723,-3.3996859,-7.1655564,-7.060266,-5.553749,-3.590513,-3.0353267,-8.150279,-0.91764855,-1.2702813,-7.640249,-1.4526459,-1.6533613,0.038691018,-1.7846237,-1.7470847,2.0409641,1.0064082,1.731957,2.6659248,0.2681194,0.26059794,0.27526438,0.27152687,0.29472688,0.4611906,0.66065264,0.6782978,0.6357196,0.5145771,0.41391584,0.31116724,elif,korku
-518.5269,151.51967,35.73417,42.54418,9.681186,14.465874,4.7960687,2.130501,0.6418222,-3.6546798,-1.4255719,-14.214573,-6.315829,1.796072,-12.240813,-5.1328726,1.5393924,-4.9083004,-1.2599962,-7.3166656,-6.822496,-2.1532884,-7.169869,-4.0436673,-3.7906432,-5.182201,0.09227603,-3.631359,-2.5178375,-0.087719284,-3.7482858,0.09990218,0.19579627,-1.5754384,-0.23000993,0.069635235,-0.8197216,-1.7315379,0.052286547,1.9739349,0.39166015,0.35909963,0.32545668,0.26750734,0.32408226,0.4520028,0.5110991,0.46143642,0.46895278,0.44975838,0.4489418,0.41500902,elif,korku
-425.1217,169.01997,-6.5804214,22.824354,15.376324,2.0709152,-22.747492,-0.48224598,-4.7560534,-22.39567,6.4875402,-7.916843,-9.852246,1.7481961,-11.174764,-6.127065,-3.7766864,-2.2560701,-2.2057567,-12.275502,-5.326203,-3.50031,-9.377693,-2.3140802,-3.6330433,-5.1418123,-2.3952706,-7.7070484,-2.0686653,-2.76283,-4.4319034,0.56211036,-4.051453,-0.80557793,-1.4757924,-3.4525168,0.63805103,-1.5898767,1.5916663,5.4573045,0.37415347,0.31410024,0.27350798,0.29798383,0.29472467,0.29380244,0.38911006,0.45805588,0.49921238,0.47420052,0.43246004,0.3870506,elif,mutlu
-400.08633,158.04439,-8.445682,29.20549,11.853383,-4.910457,-25.053637,-3.9656038,-1.5045689,-21.4215,-3.0439622,-7.154686,-9.099084,-1.5707037,-11.735745,-7.472494,-3.6257114,-1.9523863,1.8401018,-10.512704,-5.867641,-0.55306023,-10.851767,-3.7819111,-1.1049075,-8.359952,-2.7866018,-4.7603655,-6.2990313,-5.004184,-6.0073957,-1.0214982,-4.2565494,-2.647954,0.48415095,-1.1065011,1.6575716,0.23628108,0.75835484,2.7813795,0.3167883,0.28665397,0.24056087,0.2548474,0.28945675,0.37767303,0.4669996,0.5008289,0.5197923,0.4511556,0.44418076,0.38492087,elif,mutlu
-404.9306,164.90633,-10.373386,26.89763,9.391734,-1.023574,-20.298662,-1.1510032,-0.27670795,-22.885275,0.4208951,-10.130256,-13.864874,-1.6549,-10.96941,-6.649612,-5.2107105,-4.968214,-1.2958535,-11.631423,-8.078475,-4.96264,-10.698252,-0.074591346,-0.29758224,-5.196578,-1.6753339,-4.771095,-0.50659573,-1.8467367,-5.7588825,-2.1838777,-3.1088011,1.0342109,-0.2750535,-0.5334104,1.931647,-0.5160488,2.0624585,-0.077007204,0.39642155,0.36109594,0.33550224,0.316415,0.3212198,0.39031512,0.39400947,0.3986583,0.41540807,0.41539922,0.4539183,0.43801895,elif,mutlu
-413.4744,150.35187,6.800061,21.118961,5.7749534,2.4075105,-10.371669,-2.1191642,-2.5452049,-15.878346,2.6945505,-3.275836,-10.441455,-5.146925,-10.802058,-4.7960315,-1.1930696,-7.3239202,-3.453078,-4.238307,-4.796053,-3.4919567,-4.8777113,1.9462609,-1.2733355,-3.6530716,-0.9157226,-6.414459,-3.5872931,-2.207588,-2.1453092,0.5969355,-1.6481256,1.4703902,0.5358405,0.19466251,1.9548033,-2.4227052,1.4556514,2.836633,0.47377497,0.40369186,0.37959704,0.3750826,0.33712518,0.37484437,0.44751373,0.4943512,0.49852931,0.45669302,0.45384088,0.48362538,elif,mutlu
