MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,Kişi,Ses Türü
-490.9989,144.51926,36.98608,39.49001,2.7090127,8.792487,1.9286975,2.2558384,-0.78443134,-6.232926,-0.37681535,-14.640394,-8.184261,3.4420118,-13.980204,-11.747764,-3.0363247,-2.4334762,-2.9317467,-9.335506,-2.333139,-4.6482725,-8.941936,-4.668191,-5.1610055,-3.2532973,-2.6911466,-6.102564,-2.2046623,-3.238798,-5.157973,-0.123850666,-3.008223,-1.1517873,0.6835166,-0.8116973,0.58505416,-0.8912609,0.49447563,3.0546036,elif,korku
-486.00204,142.14574,41.39157,40.00138,-0.85978466,3.9433255,3.4204981,3.1048684,-3.1901562,-7.2145314,-1.2469187,-13.905408,-10.4809475,-1.8719144,-12.984724,-8.314229,-5.209246,-9.1624,-4.1716046,-7.0791755,-4.586236,-4.3137484,-7.032617,-4.4112825,-6.114095,-5.2033863,-2.2623563,-6.7119465,-3.4309149,-2.4412878,-4.7426023,-0.5786506,-3.6714425,-1.376106,0.49594963,-1.0808004,-0.38602108,-0.71630067,2.244335,2.3712025,elif,korku
-499.93265,141.51936,26.270403,45.314327,1.8631233,13.865196,5.688345,6.007105,1.3234516,-1.6688446,2.9584758,-13.896455,-11.34737,-0.4163813,-11.398248,-8.759962,0.4526503,-3.521981,-1.2985809,-3.1916325,-2.4989815,-6.340018,-8.701061,-2.4342875,-5.244489,-5.194081,0.11211675,-6.275341,-3.7966561,-2.5176675,-4.612381,0.056180444,-4.1387734,-1.1980352,-0.07065801,-1.2682163,1.3243566,0.2053371,0.7673198,3.6549258,elif,korku
-495.14294,158.82918,31.09653,37.107155,-5.0138936,11.936269,10.8028755,5.674144,-4.1949353,-6.4090977,1.5444767,-16.223036,-8.736071,0.2107098,-14.049802,-8.134834,-4.3145375,-7.724053,-1.8823923,-4.9588456,-4.973346,-6.3018746,-5.4222126,-3.5453956,-9.305239,-5.452751,-2.31545,-7.8474026,-3.9730144,-4.555087,-5.877176,-1.9755614,-5.157396,-0.68681747,-1.8614401,-3.7398067,1.2853874,-2.3521526,-0.82949865,3.4791553,elif,korku
-495.61124,147.78558,32.89302,45.034084,4.8816423,12.659655,4.012688,2.5456562,-1.0870056,-4.694456,-0.2750505,-14.97873,-9.725989,1.7222439,-11.438517,-10.814,-4.232284,-4.2310762,-0.0112162735,-7.111271,-6.102849,-3.107098,-7.2110066,-6.406372,-5.382053,-3.6918027,-2.3483474,-6.7506785,-1.4644144,-2.784934,-7.75674,-1.0614867,-1.8084936,-0.7036045,-1.5324037,-1.8930539,2.033562,1.2155948,1.4466313,2.4125144,elif,korku
-504.722,151.56989,31.463049,44.813843,5.8129044,15.089445,5.9639764,1.7780263,-0.76496804,-2.2978077,-0.30877817,-15.338758,-9.747758,-0.18390827,-11.496562,-7.843916,-0.8297663,-4.5111814,-0.45951214,-7.08221,-5.974149,-1.5984215,-7.5012164,-3.513073,-3.1348298,-4.648763,0.7647116,-4.1094184,-1.5996001,0.5431689,-4.1798267,-0.17947404,-0.98435104,-0.39419362,-0.26566893,-1.1083714,0.052954283,-1.3060037,-0.43342033,1.512311,elif,korku
-416.54428,169.03989,-1.856694,31.294767,10.975686,1.8384551,-19.347206,-1.3311129,-1.7595978,-21.271988,2.415471,-7.4774766,-8.447503,1.0483297,-11.957079,-4.799804,-3.2288916,-4.333875,0.1863506,-9.461777,-7.1482787,-5.427606,-8.52263,-1.0650452,-4.542065,-5.6692653,-1.1034545,-7.589272,-2.9851,-3.665735,-6.22576,-1.0553972,-5.122942,-2.6197727,-2.5963998,-3.24044,0.43214202,-2.0820475,2.0613108,6.205327,elif,mutlu
-410.09634,160.27017,3.9289932,27.458954,5.8989735,-1.0680994,-18.333431,-5.570571,-3.7158813,-18.68479,-2.5924993,-6.9637494,-7.8823495,-1.7799866,-11.417362,-5.268862,-1.6737045,-4.929593,0.82925624,-7.7288427,-6.6258955,-2.664926,-10.932021,-4.123006,-2.2103505,-7.9254603,-3.7276142,-6.0862517,-5.899566,-2.6152716,-3.9377892,-0.20086269,-0.86179394,0.21485631,2.2133482,0.1253545,1.1886386,-0.6405126,0.09990215,2.6642647,elif,mutlu
-401.2837,176.26144,-3.8005495,24.635086,10.626015,-2.3683398,-22.948841,-1.8003697,-0.45042107,-21.643225,0.7476071,-8.145284,-11.755241,-2.2890584,-9.809474,-5.9771557,-5.2132635,-4.126466,-0.1965136,-10.035863,-8.714779,-4.471549,-9.066213,-1.0163157,-2.1449375,-6.7095823,-2.5523078,-5.5797873,-1.8851364,-3.1059718,-5.761659,-1.2851965,-2.8100324,0.21822654,0.19668287,0.49176016,2.1294534,0.43535605,2.6250434,1.4056679,elif,mutlu
-401.1573,158.79128,9.400414,23.585873,6.0373597,0.8849034,-15.003671,-3.2661285,-2.00376,-16.087942,2.7275393,-4.3183026,-11.085356,-5.25623,-9.838448,-3.772194,-1.710887,-6.4085865,-2.0361438,-5.316357,-6.4624977,-4.3652196,-5.7531133,0.4968102,-2.6602602,-4.6569314,-0.84503704,-6.7276144,-4.1866384,-2.7805908,-4.1063013,-0.24242847,-2.2003145,-0.03560208,-1.2822798,-1.6347715,1.5457141,-2.177825,1.0027945,2.7069461,elif,mutlu
-407.58563,154.8759,5.0449915,22.02229,8.329386,-1.9607085,-15.160593,-1.3777452,-4.0671163,-14.728972,0.42167184,-4.5783796,-9.188127,-3.7324479,-9.7557955,-6.64169,-1.4458623,-5.469942,-1.9690659,-6.386943,-5.587287,-2.1899672,-6.7073264,-2.6401446,-3.6443968,-4.918018,-1.9301857,-5.41053,-3.3133075,-1.3537022,-2.4641967,-0.81392527,-2.338051,-1.5131199,-1.1285126,-0.32851514,0.4380224,-3.9786735,-2.267943,0.28698522,elif,mutlu
-523.7902,153.19011,45.13061,39.546207,4.204457,9.542485,3.520844,3.2098842,-4.837692,-3.0289931,1.9066664,-13.5049,-2.5389876,2.6408591,-13.4212,-5.135079,1.0854715,-3.167315,-3.108302,-6.159871,-0.6149864,-2.397559,-6.5018344,-4.2523246,-3.6767507,-2.5613513,-1.6115042,-4.4397707,-2.1052735,-2.5287998,-6.2417297,-2.8147907,-1.6904515,-0.87317705,-2.2388635,-1.8566525,-0.83956724,-1.4832516,-1.3547581,-0.8224266,elif,notr
-491.18033,152.56178,41.43013,43.625843,5.8384724,-2.8161697,-12.164423,-3.7241707,-0.54665434,-8.931973,-4.169629,-13.13539,-12.683267,-4.7509375,-13.096266,-5.798683,-0.43446785,-8.081311,-0.1998849,-7.6922445,-8.153694,0.99405783,-5.507611,-4.529668,-5.567912,-4.485639,0.47541076,-5.9091763,-3.2581556,-1.210891,-8.558036,-2.3278222,-1.2080017,-5.314075,-1.3781601,-1.5681423,-2.5193784,-3.4406416,-1.753788,0.5625169,elif,notr
-512.7947,153.95135,22.450224,56.146114,4.2362227,-6.0612245,-4.142517,4.3111024,-3.1286933,-3.4419422,4.093555,-9.139383,-4.0427523,0.26741976,-11.812408,-4.243967,3.106528,-5.8564367,-2.4944978,-4.2434344,-5.3652062,-4.547122,-4.9106927,-3.3239758,-6.1272216,-1.6447629,-0.3478283,-6.1853504,-1.5324651,-1.8485543,-6.658847,-2.5132947,0.22273669,-1.3551394,-3.2263656,0.43998557,0.88507825,0.18358138,0.5643436,-0.29629856,elif,notr
-514.21277,169.02298,30.075983,44.613556,6.879667,4.0653143,-6.29684,5.4441385,-6.2733593,-6.3106813,8.29569,-11.44552,-5.6704903,-3.1059613,-11.573523,-2.987244,0.9087948,-4.772635,-0.27943036,-3.2747285,-5.0225086,0.1653355,-6.253824,-2.6815026,-1.6607339,-2.698358,1.7854381,-6.487195,-1.0308809,0.91033787,-5.7511406,-1.919882,-2.4164112,-1.5411575,-2.6994038,-0.97032034,-0.7327822,-1.6478033,-0.9970617,-1.8073963,elif,notr
-481.24814,170.9428,34.589535,33.63023,9.264119,6.4594603,-5.4932656,0.033197578,-5.9628253,-10.514624,4.290857,-9.046925,-9.378696,-5.574321,-11.308707,-4.2084165,-0.06020407,-4.5842924,-2.5691974,-5.90948,-6.3934474,0.9128921,-6.6513815,-5.749446,-2.3730335,-3.4645677,-0.33673277,-7.7410626,-3.2330499,0.14083004,-7.0050697,-4.2383947,-2.458627,-1.7633076,-2.4361668,-3.349553,-1.9052846,-1.4222107,-2.4528453,-1.8090957,elif,notr
-480.6705,162.24371,35.675194,39.09795,4.7760158,4.233577,-4.5988035,-0.36145893,-4.178554,-7.409407,0.5342203,-13.119218,-9.471185,-7.0983844,-11.016793,-4.298805,-2.7363722,-3.972999,-3.7436373,-6.1796803,-5.0052075,-2.1959703,-6.0115337,-5.4185834,-4.108612,-3.0688057,0.32079032,-8.622708,-3.9879138,1.165551,-7.3592424,-3.9435487,-3.0533924,-2.824472,-1.7998977,-1.8005297,-0.35377264,-1.1292864,-0.9166505,-0.28270954,elif,notr
-474.53796,152.8093,35.74263,41.93459,4.3413444,-2.4725099,-7.094075,2.7040753,-7.851424,-11.895152,1.5371907,-12.215167,-8.420047,-3.824757,-11.229633,-5.256382,-1.6952109,-5.715497,-4.350734,-5.168914,-7.030977,-3.5733778,-5.632818,-5.742429,-3.4772012,-5.2451854,0.87411886,-5.71429,-4.6138115,0.9790168,-8.668789,-1.371968,-1.9680096,-4.0095463,-1.2073988,-3.291708,-1.4125056,-3.6550727,-0.52240413,0.49980667,elif,notr
